"","site_code","Date","mean_Salinity","sd_Salinity","SE_Salinity","mean_DOX","sd_DOX","SE_DOX","mean_TURB","sd_TURB","SE_TURB","mean_CPHL","sd_CPHL","SE_CPHL","mean_CNDC","sd_CNDC","SE_CNDC","mean_DESC","sd_DESC","SE_DESC","mean_TEMP","sd_TEMP","SE_TEMP"
"27","NRSNSI",2017-02-17,35.6372066666667,0.0108993493425963,0.00198993983235636,5291.25362666667,523.494574884077,95.5765957985288,0.26178,0.0638697132909024,0.0116609609036049,0.316273333333333,0.159219622628259,0.0290693929703191,5.55155333333333,0.0355996680857574,0.00649958041675536,0.659533333333333,0.163025433457553,0.0297642357839197,26.4837333333333,0.347909826142403,0.0635193532519648
"28","NRSNSI",2017-04-24,35.57267,0.023983430343353,0.00437875526846943,5041.10941,527.511979941631,96.3100702560813,0.25388,0.0390991171961368,0.00713848948895409,0.190106666666667,0.00622475222236878,0.00113647906902393,5.31258333333333,0.00398523856711006,0.000727601686748581,0.505066666666667,0.115455897934303,0.0210792665652105,24.3165066666667,0.0706336587409038,0.0128958827371716
"29","NRSNSI",2017-05-16,35.5333133333333,0.0396162082236929,0.00723289696231276,4952.28748,527.099596332684,96.2347796544261,0.301036666666667,0.0722690112600536,0.0131944558919087,0.24005,0.0113810414043828,0.00207788436836025,5.17777,0.00198410059533623,0.000362245550808361,0.5176,0.129848080994411,0.0237069076697989,23.0838533333333,0.058667959494637,0.0107112549393374
"30","NRSNSI",2017-06-27,35.4655766666667,0.00443735579335045,0.000810146621231425,4924.58388,530.621107319801,96.8777166558081,0.277673333333333,0.0111016908725601,0.00202688217245013,0.171256666666667,0.0171135091492744,0.00312448499970955,5.13932,0.0014057517316492,0.000256653977892073,0.569166666666667,0.142094452155365,0.025942778913944,22.7996966666667,0.0112980463167185,0.00206273160780163
"31","NRSNSI",2017-07-17,35.66887,0.000930016685056219,0.000169797039087156,4752.50961,513.009693090201,93.6623270414351,0.27202,0.0253975344988581,0.00463693418334676,0.208363333333333,0.0145057059720348,0.00264836745780696,5.03817,0.00278235201917744,0.000507985654607843,0.5336,0.130791911592159,0.0238792267727489,21.5825,0.0294958793147741,0.00538518615138393
"32","NRSNSI",2017-08-29,35.6115965517241,0.000547385186018549,0.000101646877230823,4842.46927931034,502.424445628244,93.2978773393545,0.320455172413793,0.046724455100445,0.00867651349101561,0.251341379310345,0.0403524783912373,0.00749326712114298,5.07894827586207,0.00263609840072889,0.000489511183991337,0.520931034482759,0.151712588006421,0.028172320335568,22.0425172413793,0.0283371924832453,0.00526208454116445
"33","NRSNSI",2017-09-27,35.6451533333333,0.006626370168441,0.00120980413854481,4831.7801,473.668753410463,86.4796870094209,0.536703333333333,0.0693883945544972,0.0126685296421889,0.334886666666667,0.0197825721512532,0.0036117870042383,5.09656,0.0346115647406052,0.00631917825299331,0.6113,0.163282946720272,0.0298112510582024,22.17019,0.341887476296333,0.0624198276320048
"34","NRSNSI",2017-10-23,35.47915,0.106009543324467,0.0193546060632107,4933.39226666667,479.466096047007,87.5381321212947,0.24748,0.0429618066145525,0.00784371686465502,0.220016666666667,0.0143423434658341,0.00261854168124139,5.15228666666667,0.0378198974572666,0.00690493698662573,0.600533333333333,0.136780401231023,0.0249725703929462,22.9070966666667,0.386990854817841,0.0706545402439795
"35","NRSNSI",2017-11-16,35.48785,0.0518559992206536,0.0094675668383741,5116.47062,469.598514972276,85.7365665404144,0.209623333333333,0.0123856057536585,0.00226129188654817,0.16171,0.0379476531462796,0.00692826187753308,5.30424,0.0585288175410935,0.0106858512104537,0.662,0.13465562717924,0.0245846415003585,24.34396,0.621117278947299,0.113399981511888
"36","NRSNSI",2017-12-19,35.4903068965517,0.0465241099633484,0.00863931033303034,5027.49915862069,274.673995220657,51.0056804309418,0.241393103448276,0.0328629940709964,0.00610250479752413,0.1849,0.0189833385593036,0.00352511747349935,5.24604482758621,0.235823783464032,0.0437913772205453,0.718241379310345,0.128378251154384,0.0238392427626919,23.7760482758621,2.31253402718142,0.429426788223394
