Project_name,Sample,Date,Preservation,Time_local,Latitude,Longitude,Location,Volume_m3,Vessel,Gear_depth_m,Gear_mesh_um,Bathym_m,A. jugosa,O. pedimacula ,Ratabulus spp,R. mcgroutheri ,S. tuberculata ,P. bassensis ,P. caeruleopunctatus,P. endrachtensis,P. fuscus,P. grandispinis,P. richardsoni ,Other
NRS_NSI,NSI2016072014A,20/07/2016,Formalin,11:42,-27.345,153.562,North Stradbroke,379.641687,Scylla,14,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2016072013B,20/07/2016,Ethanol,12:01,-27.345,153.562,North Stradbroke,337.6304061,Scylla,13,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2016072012B,20/07/2016,Formalin,12:52,-27.3889,153.5802,North Stradbroke Ichthyo 30m,352.7880152,Scylla,12,Ring-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2016082213A,22/08/2016,Formalin,12:15,-27.345,153.562,North Stradbroke,379.5349432,Scylla,13,Ring-500,60,6,0,0,0,0,0,0,1,0,0,0,0
NRS_NSI,NSI2016082213B,22/08/2016,Ethanol,12:30,-27.345,153.562,North Stradbroke,417.3222223,Scylla,13,Ring-500,60,,,,,,,,,,,,
NRS_NSI,NSF2016082212B,22/08/2016,Formalin,13:05,-27.3889,153.5802,North Stradbroke Ichthyo 30m,353.1539937,Scylla,12,Ring-500,30,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2016092012A,20/09/2016,Formalin,11:20,-27.345,153.562,North Stradbroke,383.5759557,Scylla,12,Ring-500,60,4,0,0,0,0,0,0,2,0,7,0,0
NRS_NSI,NSI2016092015B,20/09/2016,Ethanol,11:35,-27.345,153.562,North Stradbroke,308.0776431,Scylla,15,Ring-500,60,0,0,0,0,3,0,0,4,0,8,0,0
NRS_NSI,NSF2016092012B,20/09/2016,Formalin,12:05,-27.3889,153.5802,North Stradbroke Ichthyo 30m,353.5504704,Scylla,12,Ring-500,30,8,0,0,0,0,0,0,4,0,2,0,0
NRS_NSI,NSI2016101914A,20/10/2016,Formalin,11:00,-27.345,153.562,North Stradbroke,289.0925089,Scylla,14,Ring-500,60,0,0,2,0,0,0,0,0,0,1,0,0
NRS_NSI,NSI2016101922B,20/10/2016,Ethanol,10:45,-27.345,153.562,North Stradbroke,373.6792874,Scylla,22,Ring-500,60,0,0,1,0,0,0,0,0,0,2,0,0
NRS_NSI,NSF2016101910B,20/10/2016,Formalin,11:40,-27.3889,153.5802,North Stradbroke Ichthyo 30m,338.3623631,Scylla,10,Ring-500,30,9,0,2,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2016111614A,16/11/2016,Formalin,11:25,-27.345,153.562,North Stradbroke,351.430845,Scylla,14,Ring-500,60,0,0,1,0,0,0,0,0,0,4,0,0
NRS_NSI,NSI2016111613B,16/11/2016,Ethanol,11:42,-27.345,153.562,North Stradbroke,301.3527883,Scylla,13,Ring-500,60,0,0,0,0,0,0,0,0,0,5,0,0
NRS_NSI,NSF2016111612B,16/11/2016,Formalin,12:15,-27.3889,153.5802,North Stradbroke Ichthyo 30m,354.2976765,Scylla,12,Ring-500,30,14,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2016121516A,15/12/2016,Formalin,11:40,-27.345,153.562,North Stradbroke,293.4385035,Scylla,16,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2016121515B,15/12/2016,Ethanol,12:00,-27.345,153.562,North Stradbroke,303.0149406,Scylla,15,Ring-500,60,4,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2016121513B,15/12/2016,Formalin,12:30,-27.3889,153.5802,North Stradbroke Ichthyo 30m,218.0164363,Scylla,13,Ring-500,30,29,0,0,0,0,0,0,0,0,1,0,0
NRS_NSI,NSI2017011716A,17/01/2017,Formalin,11:47,-27.345,153.562,North Stradbroke,387.7237119,Scylla,16,Ring-500,60,12,0,0,0,2,0,0,1,0,0,0,0
NRS_NSI,NSI2017011715A,17/01/2017,Ethanol,12:05,-27.345,153.562,North Stradbroke,315.27522,Scylla,15,Ring-500,60,10,0,0,0,0,0,0,6,0,0,0,0
NRS_NSI,NSF2017011713B,17/01/2017,Formalin,12:45,-27.3889,153.5802,North Stradbroke Ichthyo 30m,309.0078384,Scylla,13,Ring-500,30,1,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2017021715A,17/02/2017,Formalin,11:40,-27.345,153.562,North Stradbroke,540.7637172,Scylla,15,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2017021713B,17/02/2017,Ethanol,11:58,-27.345,153.562,North Stradbroke,536.3414771,Scylla,13,Ring-500,60,,,,,,,,,,,,
NRS_NSI,NSF2017021714B,17/02/2017,Formalin,12:25,-27.3889,153.5802,North Stradbroke Ichthyo 30m,551.6515772,Scylla,14,Ring-500,30,33,0,0,0,1,0,0,0,0,0,0,0
NRS_NSI,NSI2017042418A,24/04/2017,Formalin,12:00,-27.345,153.562,North Stradbroke,303.9146377,Scylla,18,Ring-500,60,8,0,0,0,0,0,,0,0,0,0,0
NRS_NSI,NSI2017042420B,24/04/2017,Ethanol,12:17,-27.345,153.562,North Stradbroke,292.2185752,Scylla,20,Ring-500,60,2,0,3,0,1,0,0,0,0,1,0,0
NRS_NSI,NSF2017042419B,24/04/2017,Formalin,12:56,-27.3889,153.5802,North Stradbroke Ichthyo 30m,247.9961743,Scylla,19,Ring-500,30,6,0,0,0,0,0,0,3,0,0,0,0
NRS_NSI,NSI2017051620A,16/05/2017,Formalin,11:39,-27.345,153.562,North Stradbroke,335.3735388,Scylla,20,Ring-500,60,,,,,,,,,,,,
NRS_NSI,NSI2017051645B,16/05/2017,Ethanol,12:01,-27.345,153.562,North Stradbroke,157.7977256,Scylla,45,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF2017051618B,16/05/2017,Formalin,12:36,-27.3889,153.5802,North Stradbroke Ichthyo 30m,236.8033321,Scylla,18,Ring-500,30,,,,,,,,,,,,
NRS_NSI,NSI2017062722A,27/06/2017,Formalin,11:23,-27.345,153.562,North Stradbroke,271.464545,Scylla,22,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2017062727B,27/06/2017,Ethanol,11:38,-27.345,153.562,North Stradbroke,247.8894306,Scylla,27,Ring-500,60,0,0,0,0,0,0,0,0,0,1,0,0
NRS_NSI,NSF2017062721B,27/06/2017,Formalin,12:08,-27.3889,153.5802,North Stradbroke Ichthyo 30m,211.5508163,Scylla,21,Ring-500,30,,,,,,,,,,,,
NRS_NSI,NSI20170717A,17/07/2017,Formalin,12:45,-27.345,153.562,North Stradbroke,263.4435164,Scylla,,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI20170717B,17/07/2017,Ethanol,13:04,-27.345,153.562,North Stradbroke,287.4151075,Scylla,,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSF20170717B,17/07/2017,Formalin,13:35,-27.3889,153.5802,North Stradbroke Ichthyo 30m,228.8737982,Scylla,,Ring-500,30,,,,,,,,,,,,
NRS_NSI,NSI2017082925A,29/08/2017,Formalin,13:40,-27.345,153.562,North Stradbroke,232.5640813,Scylla,25,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
NRS_NSI,NSI2017082914B,29/08/2017,Ethanol,13:58,-27.345,153.562,North Stradbroke,254.1415631,Scylla,14,Ring-500,60,2,0,0,0,0,0,0,1,0,0,0,0
NRS_NSI,NSF2017082920B,29/08/2017,Formalin,14:30,-27.3889,153.5802,North Stradbroke Ichthyo 30m,224.4210599,Scylla,20,Ring-500,30,,,,,,,,,,,,
NRS_NSI,NSI2017092718A,27/09/2017,Formalin,12:00,-27.345,153.562,North Stradbroke,239.1974414,Scylla,18,Ring-500,60,,,,,,,,,,,,
NRS_NSI,NSI2017092719B,27/09/2017,Ethanol,12:30,-27.345,153.562,North Stradbroke,253.9433247,Scylla,19,Ring-500,60,1,0,0,0,0,0,0,2,0,0,0,0
NRS_NSI,NSF2017092720A,27/09/2017,Formalin,13:00,-27.3889,153.5802,North Stradbroke Ichthyo 30m,225.3055079,Scylla,20,Ring-500,30,,,,,,,,,,,,
NRS_NSI,NSI2017102318A,23/10/2017,Formalin,11:26,-27.345,153.562,North Stradbroke,228.7518053,Scylla,18,Ring-500,60,0,0,0,0,0,0,0,0,0,0,0,0
